Gondi Word	Phonetic	Part of Speech	Telugu Meaning	English Meaning	Hindi Meaning	Ex 1 Gondi	Ex 1 Telugu	Ex 1 English	Ex 1 Hindi	Ex 2 Gondi	Ex 2 Telugu	Ex 2 English	Ex 2 Hindi	Ex 3 Gondi	Ex 3 Telugu	Ex 3 English	Ex 3 Hindi
అక్కల్	/akkal/	n	బుద్ధి	wisdom	बुद्धि	అక్కల్ మన్వల్ మాయ్నల్ చొకొట్ మందంతొర్.	బుద్ధి మంతుడు మంచిగా ఉంటాడు.			బయ్యె బాబలిర్ కాండిన్ అక్కల్ బుద్ది కరుసన.	తల్లి దండ్రులు పిల్లలకు తెలివి తేటలు నేర్పాలి.						
అక్కొ	/akko/	n	తాత	maternal grandfather	तात; नानादादा; बूढा आदमी	మావొర్ అక్కొ డగుర్.	మా తాతయ్య పెద్దవాడు.			అక్కొ చుట్ట ఉంజెర్ మంతొర్.	తాతయ్య చుట్ట తాగుతున్నాడు.						
అక్కొ మామల్	/akko māmal/	n	తాత మామయ్య			నన్న అక్కొ మామలిర సోరిక్ దాంతొన్.	నేను తాతయ్య మామయ్య వారి ఇంటికి సంబంధానికి వెళతాను.										
అక్డెమాత	/akḍemāta/		ముడుచుకు పోవడం			నావంగ్ కాల్క్ అక్డెమాతంగ్.	నా కాళ్లు ముడుచుకు పోయాయి.										
అక్ర	/akra/	num	(11) పదకొండు	eleven	ग्यारह	నాకున్ అక్ర హెర్రెంగ్ మంతంగ్.	నాకు పదకొండు మేకలు ఉన్నాయి.										
అక్సెదన దివొస్	/aksedana divos/		పెళ్లి రోజు	wedding day													
అక్సెర్	/akser/	n	అక్షరం	character	अक्षर; वर्ण	అక్సెర్ ఉంది గునం.	అక్షరం ఉంది గుణం.										
అకుర్పొక్ (మహ్న)	/akurpok (mahna)/	n	భాద్రపదం	month 6 of the Gond year (August-September)													
అగ్గ	/agga/	adv	అక్కడ	there	वहा	వేర్ వెర్తల్ అగ్గటొర్ ఆందుర్.	ఈ చుట్టము అక్కడి వాడు.										
అగ్గటొర్	/aggaṭor/	n	అక్కడివారు	man from there		వేర్ మాయ్నల్ అగ్గటొర్.	ఈ వ్యక్తి అక్కడి వారు.	This man is from there.									
అఙె	/aṅe/	n	వదిన	elder brother's wife	भाबि	మావొర్ దాదన బాయ్కొ నాకున్ అఙె ఆంత.	మా అన్నయ్య పెండ్లం నాకు వదిన అవుతుంది.										
అచనక్	/acanak/	adv	ఆకస్మికంగా	suddenly		మావ సాడతె అచనక్ పి.ఓ. సాబ్ వాసి మత్తొర్.	మా బడికి పి.ఓ ఆకస్మికంగా వచ్చారు.										
అచ్చొర్	/accor/	adv	అంత	that much, that many (nm.)		నిమ్మె అచ్చొర్ డగుర్ బహన్ ఆతి.	నీవు అంత పెద్దగా ఎలా అయ్యావు.										
అచ్చోడ్ రొప్పొ	/accōḍ roppo/	adv	అంతలో	meanwhile	इसी दौरान	బుయరితగ అచ్చొడ్ రొప్పొ నేంగ్మా.	గుహలో చాలా లోపలికి వెళ్లకు.										
అచ్వీర్	/acvīr/	pron	అంతమంది	that many (m.)		అచ్విర్ తె మావ రోన్ తిన్లెన్ వాయన.	అంతమంది మా ఇంటికి తినడానికి రావాలి.										
అచొట్క్	/acoṭk/	n	మామూలు	usual	साधारण												
అజుక్	/ajuk/	conj	ఇంకా	even now		దుకాన్ దారల్ అజుక్ ఉండె బతంగ్ పహజ్లె ఇంతొర్.	దుకాణ దారు ఇంకా ఏమి కావాలి అని అడుగుతున్నాడు.										
అట్కీ కీత	/aṭki kī-/	n	వేలాడదీయు	to hang	टाँगना	నావ ఆంగ్డెతున్ మోలతగ అట్కి కీతొన్.	నా చొక్కాను మేకుకు వేలాడదీసాను.										
అట్కుల్క్	/aṭkulk/	n	అటుకులు	flattened rice	चिउडा	పెరెక్ ఙల్ అట్కుల్క్ తయర్ కీంతెర్.	బియ్యము నుండి అటుకులు తయారు చేస్తారు.										
అట్కె మాత	/aṭke māta/		ఊపిరి ఆగింది			నావ నేస్క్‌వల్ అట్కె మాత.	నా ఊపిరి ఆగిపోయింది.										
అట్ట	/aṭṭa/		వంట చెయ్యి	cook													
అట్లాంటిక్ సమ్దుర్	/aṭlāṇṭik samdur/		అట్లాంటిక్ మహా సముద్రం														
అట్వల్	/aṭval/		వంట చేయుట			తిందన్ సాటి రోజి గాటోంగ్ కుస్రింగ్ అట్వల్.	తినడానికి రోజు అన్నము కూరలు వంట చేయడం.										
అటుమ్ కుటుమ్	/aṭum kuṭum/		చుట్టాలు			మర్మిన్క్ అటుమ్ కుటుమున్ సమ్దిర్క్ కేయంతెర్.	పెండ్లిలో చుట్టాలందరిని పిలుస్తారు.										
అటొ	/aṭo/	n	ఆటో	auto		అటొతున్ మూంద్ గారెంగ్ మందంతంగ్.	ఆటో కు మూడు చక్రాలు ఉంటాయి.										
అడ్డబుడ్డ	/aḍḍabuḍḍa/	adj	అడ్డదిడ్డమైన	blockage	बाधा देने वाला	కామ్ కీయ్నెకె ఆడ బుడ్డ అయ్వ.	పని చేసేటప్పుడు అడ్డదిడ్డముగా రావద్దు.										
అడ్డమ్	/aḍḍam/	adv	అడ్డముగా	across	आडा	పోడ్దున్ అడ్డమ్ టెప్ప ఆత.	సూర్యునికి అడ్డముగా మేఘం వచ్చింది.										
అడ్డమ్ ఆ-	/aḍḍam ā-/	v	అడ్డుకో	object	रोक; बीच में पड	బాబల్ బయ్యెన్ పానెకె కాండి అడ్డమ్ ఆతొర్.	నాన అమ్మను కొట్టే టప్పుడు కొడుకు అడ్డుకున్నాడు.										
అడ్డంవడి	/aḍḍanvaḍi/		అడ్డంగా వచ్చే గాలి	air coming across		నిన్నెతల్ అడ్డంవడి వాసెర్ మంత.	నిన్నటి నుండి అడ్డంగా గాలి వీస్తుంది.										
అడ్డె	/aḍḍe/		మానిక														
