Gondi Word	Hindi Meaning	Telugu Meaning
अक्‍कल	अक्‍कल	తెల్వీ
अक्‍कल	बड़ी बहन	అక్క
अक्‍सरम	अक्षर	అక్షరము
अगटाल	वहां से	అక్కడనుండి
अगाटोर	वहाँ के	
अंगी	कमीज	అంగి; చొక్క
अंगी नांदमड़	शर्ट भीगना	చొక్క తడవడము
अंगे	भाभी	వదిన
अग्गा	वहां	అక్కడ
अगाटोर	वहाँ के	
अग्‍गि डब्‍बा	आगपेटी	అగ్గి పెట్టె
अग्‍गि डब्‍बा गीसा	आग लगाना	
अग्‍गि पुल्‍ला	तीलि	
अचवेल्‍ले	उतना ज्यादा	
अचानक	अचानक	అకస్మితుగ
अंचू	गोट	అంచు
अंचे	टोकरी	చిన్న గంప
अच्चोर	उतना	అంత
अच्चोर लोप्पो	उतना अंदर	
अच्चोर लोप्पो	उतना अंदर	
अच्‍हमड़	अंगुठा लगाना	
अच्‍हुडु	दबाना	అద్ముట
अंटकुन्‍मड	चिपकना	అంటుకొవటము
अंटावाटमड	जोड़ना	అంటపెట్టటము
अंटोर्कना सिन्नोड़	सबसे छोटा	అందరికన్న చిన్నవాడు
अट्‍कु	अटारी	అటుకు
अंट्‍कुल्‍क	बाकी	అంట్లు
अट्टना अर्रा	रसोई	వంటగది
अट्टाना एर	पकाने के पानी	
अट्टुडु	पकाना	వండుట
अट्वल रोन		వంటశాల
काच्‍हुता एर	उबला हूआ पानी	
अट्टाना एर	पकाने के पानी	
अट्वल रोन		వంటశాల
अड़का	घडा	కుండ
अड़गु	नीचे का भाग	క్రింది భాగం
अड़गुना पज्‍जो अड़गु वाटमड़	पद चिन्‍हों पर चलना	అడ్గులొ అడ్గు వెసీ నడచుట
अडगुल्‍कु	पाँव के निशान	
अडम-दिडम	आड़ा-टेड़ा	
अडुड़	रोना	ఏడ్చుట
अड्‍गु-बुड्‍गु	नीचे का भाग	
अड्डम	आड़ा	అడముగా
अड्डीगा	जोर से	అడ్డిగా
