Gondi Word	Telugu Meaning
आपोआप	అకస్మితంగ
अचानक	అకస్మితుగ
अक्‍कल	అక్క
हडे मर्रि	అక్క కొడుకు
अग्गा	అక్కడ
अगटाल	అక్కడనుండి
उत्तदे	అక్కరకురాని
अक्‍सरम	అక్షరము
तलबाल्‍क	అక్షీంతాలు
तडिमि	అగ్గి
अग्‍गि डब्‍बा	అగ్గి పెట్టె
तडिमते बोळ्‍समड़	అగ్నిలొ కాల్చుట
अट्‍कु	అటుకు
असंटद	అటువంటిది
अड्डम	అడముగా
आरण्यम	అడవి
गुरगोड्डु	అడవి ఆవు
केडाकोर	అడవి కోడి
केडा गुर्रम	అడవి గుర్రమ్
पोन्‍गू	అడవి పావరం
केडा कोड्‍का पिट्टे	అడవి పిచ్చుక
केडा वेरकळ	అడవి పిల్లి
निर बिल्‍ली	అడవి పిల్లీ
काड बर्रे	అడవి బర్రె
केडा बल्‍ली	అడవి బల్లి
केडा मन्‍कल	అడవి మనిసి
केडाते मनमड	అడవిలొ ఉండుట
केडातेन वेलियमड	అడవిలొ తిరగడము
अड़गुना पज्‍जो अड़गु वाटमड़	అడ్గులొ అడ్గు వెసీ నడచుట
अड्डीगा	అడ్డిగా
बिच्‍चागाड	అడుగుక్కునేవాడు
तल्कमड़	అడుగుట
वोर (ओर)	అతను
आत्ताइ	అత్తమ్మ
अत्‍तर	అత్తర్ ఉపయొగించడం
पापे	అతిజిహ్వ
अद्दोम	అద్దము
अदमिसी पियमड़	అద్మీ పటటము
अच्‍हुडु	అద్ముట
तक्दीर	అదృష్టం
कुसी	అనందం
दादल	అన్న
गाटो	అన్నము
हुक्‍कुड़	అన్నం కలిపే కట్టే
अन्नि	అన్ని
इनुडु	అను
बातल इत्ते अद	అనుకున్నది
अन्मानम	అనుమానం
जाटा	అనుములు
रक-रकाल्‍क/तीर-तीर्क्‌ना	అనేక రకాలు
कर्ज	అప్పు
अस्के	అప్పుడు
लबाड	అబద్దము
अब्बा	అబ్బా
अब्रक	అబ్రకము
अमासा	అమవాస్య
काको	అమ్మమ్మ
यावल	అమ్మా
अम्मुड	అమ్మాడం
इंका	అయన
अय्ते	అయ్తె
तेर	అయ్న!
ओनद	అయ్నది
आय्‍ना	అయ్నా
अय्यो	అయ్యొ
अरग्ता	అరగింది
