Gondi Word	Telugu Meaning
అక్కల్	బుద్ధి
అక్కొ	తాత
అక్కొ మామల్	తాత మామయ్య
అక్డెమాత	ముడుచుకు పోవడం
అక్ర	(11) పదకొండు
అక్సెదన దివొస్	పెళ్లి రోజు
అక్సెర్	అక్షరం
అకుర్పొక్ (మహ్న)	భాద్రపదం
అగ్గ	అక్కడ
అగ్గటొర్	అక్కడివారు
అఙె	వదిన
అచనక్	ఆకస్మికంగా
అచ్చొర్	అంత
అచ్చోడ్ రొప్పొ	అంతలో
అచ్వీర్	అంతమంది
అచొట్క్	మామూలు
అజుక్	ఇంకా
అట్కీ కీత	వేలాడదీయు
అట్కుల్క్	అటుకులు
అట్కె మాత	ఊపిరి ఆగింది
అట్ట	వంట చెయ్యి
అట్లాంటిక్ సమ్దుర్	అట్లాంటిక్ మహా సముద్రం
అట్వల్	వంట చేయుట
అటుమ్ కుటుమ్	చుట్టాలు
అటొ	ఆటో
అడ్డబుడ్డ	అడ్డదిడ్డమైన
అడ్డమ్	అడ్డముగా
అడ్డమ్ ఆ-	అడ్డుకో
అడ్డంవడి	అడ్డంగా వచ్చే గాలి
అడ్డె	మానిక
అడ్ముట్యల్	మోటుగా ఉండేవాడు
అడ్-	ఏడవడం
అడిచ్	రెండున్నర
అద్	అది
అదెన్‌లాసి	దానికోసం
అద్మ	నొక్కు
అద్యయ్ కీమ్	అధ్యయనము చేయు
అద్లి	తవ్వ
అదిక్	రెట్టింపు
అదిక్న	ఎక్కువ
అదికార్	అధికారం
అదెన్	దాని
అంతర్	అంతరము
అంద్రియల్	రేచీకటి గలవాడు
అంద్‌త	అందడము
అంటార్కిటికా	అంటార్కిటికా
అంటి	ఆ రోజు
అంచు	అంచు
అంగుర్	ద్రాక్ష
అందూని	కట్నం
అంచె	చిన్న గంప
అందెజ	అంచన
అన్‌ బావ్	అనుభవము
అన్‌మన్	అనుమానం
అనంద్నె పిస్వల్	ఆనందంగా జీవించు
అని	మరియు
అప్టెమాయ్వల్	తాకటం
అపుస్వల్	ఆపుట
అబ్బా	అబ్బా
అబ్రి	అవతలికి
అబ్లుక్	విచిత్రం
అంబడి	జనుము
అమ్డి కియ్వల్	ఆక్రమించు
అయ్యొ	అయ్యో
అయ్వెకె	కాకపోతే
అయిన జావ	పోచమ్మ పూజ
అర	పడు
అరంత	పడుట
అరబ్బి	అరబ్బి
అర్కిటిక్ సమ్దుర్	అర్కిటిక్ మహా సముద్రం
అర్గ్-	కరిగిపోవడం
అర్త	పడి పోయింది
అర్త్	అర్థము
అర్దొ	సగము
అర్దొ గోల్	అర్ధ గోళం
అర్దొ సరి-	సగం దారి
అర్రె	హా
అర్సివాయొ	తేడా
అర్-	పడి పోవడం
అరిల్	రొమ్ము
అరిల్ బోయిండ	ముచ్చికము
అరిసొన్	సహాయం చేయు
అరుసిమ్	పడగొట్టు
అలగ్	వేరుగా
అల్జ్-	ఒరగటం
అల్లం	అల్లం గడ్డ
అల్లే	కాని
అల్వట్	అలవాటు
అల్స్ పుల్స్	తెల్ల దనం
అల్-	అల్లుట
అవకాస్	అవకాశం
అవ్	అవి
అవ్ట్	ఎనిమిది
అవ్రెమాయొ	ఆపుకోలేక పోవడం
అవ్వల్	అమ్మా
